publish_date,article_slug,channel,destination_type,destination_url,utm_source,utm_medium,utm_campaign,utm_content,tracked_url
2026-08-17,why-career-anxiety-and-burnout,naver_blog,article,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout,naver_blog,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_naver_blog_20260817,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_naver_blog_20260817
2026-08-17,why-career-anxiety-and-burnout,instagram,article,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout,instagram,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_instagram_20260817,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_instagram_20260817
2026-08-17,why-career-anxiety-and-burnout,facebook,article,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout,facebook,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_facebook_20260817,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_facebook_20260817
2026-08-17,why-career-anxiety-and-burnout,threads,article,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout,threads,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_threads_20260817,https://www.careerdirect.kr/blog/why-career-anxiety-and-burnout?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_threads_20260817
2026-08-17,why-career-anxiety-and-burnout,naver_blog,cta,https://start.careerdirect.kr/career-check,naver_blog,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_naver_blog_20260817_cta,https://start.careerdirect.kr/career-check?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_naver_blog_20260817_cta
2026-08-17,why-career-anxiety-and-burnout,instagram,cta,https://start.careerdirect.kr/career-check,instagram,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_instagram_20260817_cta,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_instagram_20260817_cta
2026-08-17,why-career-anxiety-and-burnout,facebook,cta,https://start.careerdirect.kr/career-check,facebook,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_facebook_20260817_cta,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_facebook_20260817_cta
2026-08-17,why-career-anxiety-and-burnout,threads,cta,https://start.careerdirect.kr/career-check,threads,organic_social,blog_launch_2026q3,why-career-anxiety-and-burnout_threads_20260817_cta,https://start.careerdirect.kr/career-check?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=why-career-anxiety-and-burnout_threads_20260817_cta
2026-08-19,four-career-compasses,naver_blog,article,https://www.careerdirect.kr/blog/four-career-compasses,naver_blog,organic_social,blog_launch_2026q3,four-career-compasses_naver_blog_20260819,https://www.careerdirect.kr/blog/four-career-compasses?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_naver_blog_20260819
2026-08-19,four-career-compasses,instagram,article,https://www.careerdirect.kr/blog/four-career-compasses,instagram,organic_social,blog_launch_2026q3,four-career-compasses_instagram_20260819,https://www.careerdirect.kr/blog/four-career-compasses?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_instagram_20260819
2026-08-19,four-career-compasses,facebook,article,https://www.careerdirect.kr/blog/four-career-compasses,facebook,organic_social,blog_launch_2026q3,four-career-compasses_facebook_20260819,https://www.careerdirect.kr/blog/four-career-compasses?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_facebook_20260819
2026-08-19,four-career-compasses,threads,article,https://www.careerdirect.kr/blog/four-career-compasses,threads,organic_social,blog_launch_2026q3,four-career-compasses_threads_20260819,https://www.careerdirect.kr/blog/four-career-compasses?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_threads_20260819
2026-08-19,four-career-compasses,naver_blog,cta,https://start.careerdirect.kr/career-check,naver_blog,organic_social,blog_launch_2026q3,four-career-compasses_naver_blog_20260819_cta,https://start.careerdirect.kr/career-check?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_naver_blog_20260819_cta
